4.0 , 752 , Petite Abeille ,  Belgian
4.0 , 228 , BXL East ,  Belgian
4.0 , 161 , BXL Zoute ,  Belgian
4.0 , 243 , B Cafe ,  Belgian
4.0 , 198 , B Cafe West ,  Belgian
3.5 , 363 , BXL Cafe ,  Belgian
4.0 , 107 , Belgian Room ,  Belgian
3.5 , 44 , Belgian Beer Cafe 'NoMad' ,  Belgian
4.0 , 2929 , Pommes Frites ,  Belgian
3.5 , 187 , Petite Abeille ,  Belgian
3.5 , 424 , Markt ,  Belgian
3.5 , 252 , Petite Abeille ,  Belgian
4.5 , 542 , Flex Mussels ,  Belgian
4.0 , 410 , Vol de Nuit ,  Belgian
4.0 , 98 , Brasserie Magritte ,  Belgian
4.0 , 21 , The Jolly Monk - Belgian Beer Bar & Grill ,  Belgian
4.0 , 621 , Blind Tiger Ale House ,  Belgian
4.0 , 347 , Spuyten Duyvil ,  Belgian
3.5 , 527 , Resto ,  Belgian
4.0 , 182 , Maoz Vegetarian ,  Belgian
4.0 , 292 , Ghenet Brooklyn ,  Brazilian
4.0 , 326 , Ponty Bistro ,  Brazilian
4.0 , 41 , B&B African-American ,  Brazilian
3.5 , 459 , Madiba Restaurant ,  Brazilian
3.5 , 324 , Braai ,  Brazilian
3.5 , 296 , Nomad ,  Brazilian
4.0 , 91 , Cafe Rue Dix ,  Brazilian
3.5 , 96 , Joloff Restaurant ,  Brazilian
4.0 , 46 , Keur Sokhna Restaurant ,  Brazilian
4.0 , 12 , Abidjan ,  Brazilian
4.0 , 127 , Massawa ,  Brazilian
3.5 , 69 , Africa Kine Restaurant ,  Brazilian
3.0 , 284 , Xai Xai South African Wine Bar ,  Brazilian
4.0 , 12 , La Savane ,  Brazilian
4.5 , 13 , Ebe Ye Yie ,  Brazilian
4.0 , 313 , Mesob Ethiopian Restaurant ,  Brazilian
4.5 , 13 , B & D Halal Restaurant ,  Brazilian
5.0 , 11 , Le Marecage ,  Brazilian
3.5 , 77 , Buka New York ,  Brazilian
4.5 , 9 , Farafina Cafe & Lounge Harlem ,  Brazilian
4.0 , 870 , The Little Owl ,  Brazilian
4.5 , 1542 , Gramercy Tavern ,  Brazilian
4.5 , 121 , Bondurants ,  Brazilian
4.0 , 529 , Westville ,  Brazilian
4.5 , 76 , The Eddy ,  Brazilian
4.5 , 96 , The Heath ,  Brazilian
4.0 , 427 , Brindle Room ,  Brazilian
4.0 , 237 , Distilled ,  Brazilian
4.0 , 687 , Westville ,  Brazilian
4.5 , 175 , Lot 2 ,  Brazilian
4.0 , 550 , Market Table ,  Brazilian
4.0 , 1098 , Perilla ,  Brazilian
4.0 , 510 , Marc Forgione ,  Brazilian
4.0 , 150 , Ichabod's ,  Brazilian
4.0 , 136 , Parker & Quinn ,  Brazilian
4.5 , 909 , Gotham Bar And Grill ,  Brazilian
4.0 , 724 , Salt & Fat ,  Brazilian
4.5 , 195 , Battersby ,  Brazilian
4.0 , 122 , B4 ,  Brazilian
4.0 , 1107 , Freemans ,  Brazilian
4.0 , 170 , Porteno Restaurant ,  Brazilian
4.0 , 351 , El Almacen ,  Brazilian
4.0 , 59 , La Fusta Restaurant ,  Brazilian
4.0 , 253 , Buenos Aires ,  Brazilian
4.0 , 133 , Choripan Rodizio ,  Brazilian
3.5 , 98 , Cafe Argentino ,  Brazilian
3.5 , 240 , Libertador ,  Brazilian
4.0 , 65 , Libertador ,  Brazilian
4.5 , 22 , Balvanera ,  Brazilian
3.5 , 158 , Novecento ,  Brazilian
4.0 , 68 , El Gauchito ,  Brazilian
4.5 , 41 , Stella's Empanadas ,  Brazilian
3.5 , 74 , Pampas Argentinas ,  Brazilian
4.0 , 83 , La Cabana Argentinan Steakhouse ,  Brazilian
4.5 , 62 , La Esquina Criolla ,  Brazilian
4.0 , 161 , Chimichurri Grill ,  Brazilian
4.0 , 128 , La Fusta Restaurant ,  Brazilian
4.0 , 63 , Puerto Madero Steakhouse ,  Brazilian
5.0 , 22 , Argentina Bakery Inc ,  Brazilian
3.5 , 67 , Estancia 460 ,  Brazilian
4.5 , 624 , Absolute Bagels ,  Brazilian
4.0 , 1227 , Ess-A-Bagel ,  Brazilian
4.5 , 336 , Best Bagel and Coffee ,  Brazilian
4.0 , 212 , Wonder Bagels ,  Brazilian
4.0 , 559 , Ess-a-Bagel ,  Brazilian
4.0 , 516 , Brooklyn Bagel & Coffee Company ,  Brazilian
4.0 , 287 , H & H Midtown Bagels East ,  Brazilian
4.5 , 324 , Brooklyn Bagel & Coffee Company ,  Brazilian
4.0 , 231 , Bagels on the Square ,  Brazilian
4.0 , 254 , The Bagel Store ,  Brazilian
4.0 , 258 , Bagelsmith ,  Brazilian
3.5 , 456 , Murray's Bagels ,  Brazilian
4.0 , 320 , Tompkins Square Bagels ,  Brazilian
3.5 , 271 , Leo's Bagels ,  Brazilian
4.0 , 169 , Bergen Bagels ,  Brazilian
4.0 , 117 , New York City Bagel Coffee House ,  Brazilian
4.0 , 142 , Bagel Works ,  Brazilian
4.5 , 57 , Graso Grill ,  Brazilian
4.0 , 118 , Bagel & Schmear ,  Brazilian
3.5 , 103 , Hoboken Hot Bagels ,  Brazilian
4.0 , 846 , Mighty Quinn's Barbeque ,  Brazilian
4.5 , 139 , Brooklyn Ice House ,  Brazilian
4.0 , 1690 , Fette Sau ,  Brazilian
4.0 , 211 , Hometown Bar-B-Que ,  Brazilian
4.0 , 544 , Butcher Bar ,  Brazilian
4.0 , 551 , Dinosaur Bar-B-Que ,  Brazilian
4.5 , 41 , incrediBALLS ,  Brazilian
4.0 , 267 , BrisketTown ,  Brazilian
4.0 , 1833 , Dinosaur Bar-B-Que ,  Brazilian
4.5 , 42 , Humo Smokehouse ,  Brazilian
4.0 , 365 , Mable's Smokehouse and Banquet Hall ,  Brazilian
4.0 , 204 , Morgan's Barbecue ,  Brazilian
4.0 , 822 , SoCo ,  Brazilian
3.5 , 1442 , Hill Country Barbecue Market ,  Brazilian
4.0 , 43 , Mighty Quinn's Barbeque ,  Brazilian
3.5 , 257 , John Brown Smokehouse ,  Brazilian
4.5 , 56 , Brazeiro Churrascaria ,  Brazilian
4.5 , 42 , Mighty Quinn's ,  Brazilian
4.0 , 38 , Mighty Quinn's Barbeque ,  Brazilian
3.5 , 395 , The Strand Smokehouse ,  Brazilian
4.0 , 752 , Petite Abeille ,  Brazilian
4.0 , 228 , BXL East ,  Brazilian
4.0 , 161 , BXL Zoute ,  Brazilian
4.0 , 243 , B Cafe ,  Brazilian
4.0 , 198 , B Cafe West ,  Brazilian
3.5 , 363 , BXL Cafe ,  Brazilian
4.0 , 107 , Belgian Room ,  Brazilian
3.5 , 44 , Belgian Beer Cafe 'NoMad' ,  Brazilian
4.0 , 2929 , Pommes Frites ,  Brazilian
3.5 , 187 , Petite Abeille ,  Brazilian
3.5 , 424 , Markt ,  Brazilian
3.5 , 252 , Petite Abeille ,  Brazilian
4.5 , 542 , Flex Mussels ,  Brazilian
4.0 , 410 , Vol de Nuit ,  Brazilian
4.0 , 98 , Brasserie Magritte ,  Brazilian
4.0 , 21 , The Jolly Monk - Belgian Beer Bar & Grill ,  Brazilian
4.0 , 621 , Blind Tiger Ale House ,  Brazilian
4.0 , 347 , Spuyten Duyvil ,  Brazilian
3.5 , 527 , Resto ,  Brazilian
4.0 , 182 , Maoz Vegetarian ,  Brazilian
4.0 , 320 , Ipanema Restaurant ,  Brazilian
4.0 , 722 , Churrascaria Plataforma ,  Brazilian
4.5 , 56 , Brazeiro Churrascaria ,  Brazilian
4.0 , 191 ,  Brazilian
4.0 , 233 , Beco ,  Brazilian
4.0 , 45 , Churrasquiera Europa ,  Brazilian
4.5 , 164 , Villa Brazil Cafe Grill ,  Brazilian
4.0 , 195 , Berimbau Do Brasil ,  Brazilian
4.0 , 132 , Copacabana ,  Brazilian
